Number,First_Name,Last_Name,GP,G,A,PTS,SH,SH_PCT,Plus_Minus,PPG,SHG,FG,GWG,GTG,OTG,HTG,UAG,PN-PIM,MIN,MAJ,OTH,BLK
15,Dominik,Bartecko,31,7,7,14,56,.125,-14,0,1,1,0,0,0,0,1,7-22,6,0,0,13
18,Jacob,LeBlanc,31,0,14,14,33,.000,-8,0,0,0,0,0,0,0,0,10-28,9,0,1,15
21,Will,Schumacher,20,8,5,13,46,.174,-3,1,0,1,1,0,0,0,0,7-17,6,1,0,11
9,Sean,James,25,6,4,10,25,.240,-9,3,0,0,1,0,0,0,1,6-12,6,0,0,10
14,Andrew,LeBlanc,20,4,6,10,37,.108,-8,0,0,1,0,0,0,0,0,10-20,10,0,0,3
8,Brendan,Lamb,31,5,4,9,39,.128,-22,0,0,1,1,0,0,0,1,4-8,4,0,0,12
16,Ryan,Coughlin,32,2,7,9,36,.056,-12,1,0,0,0,0,0,0,0,1-2,1,0,0,18
2,Lukas,Klemm,26,1,7,8,29,.034,-7,0,0,0,0,1,0,0,0,4-8,4,0,0,34
23,Christian,Kocsis,32,4,3,7,41,.098,-22,1,0,2,1,0,0,0,0,3-6,3,0,0,37
7,Tyler,DesRochers,29,2,4,6,35,.057,-15,0,0,0,0,0,0,0,0,9-18,9,0,0,31
27,Alexander,Dimitriadis,23,3,1,4,22,.136,-3,1,0,0,0,0,0,0,1,2-4,2,0,0,11
24,Matteo,Disipio,29,1,3,4,23,.043,-12,1,0,0,0,0,0,0,0,0-0,0,0,0,7
10,Francesco,Iasenza,24,1,3,4,19,.053,-12,0,0,0,0,0,0,0,0,11-22,11,0,0,23
3,John,Larkin,31,1,3,4,30,.033,-19,1,0,0,0,0,0,0,0,10-28,9,0,1,37
5,Caleb,Price,29,0,4,4,36,.000,-16,0,0,0,0,0,0,0,0,4-8,4,0,0,52
19,Riley,Fitzgerald,15,3,0,3,10,.300,-6,1,0,2,1,0,0,0,0,5-29,2,1,1,4
37,Connor,Pelc,21,1,2,3,22,.045,-6,0,0,0,0,0,0,0,0,6-20,5,0,1,9
26,Spencer,Smith,14,1,2,3,13,.077,-9,0,0,0,0,0,0,0,0,1-2,1,0,0,9
6,Trent,Sambrook,16,0,3,3,19,.000,-8,0,0,0,0,0,0,0,0,1-2,1,0,0,29
11,Barrett,Brooks,29,2,0,2,24,.083,-13,0,0,0,0,0,0,0,0,4-8,4,0,0,26
22,Noah,Sedore,16,0,2,2,24,.000,-11,0,0,0,0,0,0,0,0,3-14,2,0,1,4
28,Tyler,Nasca,20,1,0,1,12,.083,-3,0,0,0,0,0,0,0,0,1-2,1,0,0,10
33,Salvatore,Evola,10,0,1,1,0,.000,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0
1,Michael,Chambre,4,0,0,0,0,.000,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0
29,Charles-Edward,Gravel,24,0,0,0,0,.000,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0
43,Tyler,Haskins,2,0,0,0,1,.000,-1,0,0,0,0,0,0,0,0,0-0,0,0,0,2
20,Kaden,Muir,25,0,0,0,10,.000,-15,0,0,0,0,0,0,0,0,12-32,11,0,1,21
4,Jaryd,Sych,22,0,0,0,6,.000,-5,0,0,0,0,0,0,0,0,2-4,2,0,0,11
TM,Team,,32,0,0,0,0,.000,0,0,0,0,0,0,0,0,0,2-4,2,0,0,0
,Total,,32,53,85,138,648,.082,-259,10,1,8,5,1,0,0,4,125-320,115,2,6,439
,Opponents,,32,122,215,337,1110,.110,+247,29,5,24,24,2,0,3,3,120-286,113,2,5,255
